Date,Company Name,Sector,Ticker,Total Revenue,Gross Profit,Operating Income,Net Income,Total Assets,Total Liabilities Net Minority Interest,Stockholders Equity,Total Non Current Liabilities Net Minority Interest,Current Liabilities,Total Non Current Assets,Current Assets,Cash And Cash Equivalents
2024-09-30,Apple Inc.,Technology,AAPL,94930000000.0,43879000000.0,29591000000.0,14736000000.0,364980000000.0,308030000000.0,56950000000.0,131638000000.0,176392000000.0,211993000000.0,152987000000.0,29943000000.0
2024-06-30,Apple Inc.,Technology,AAPL,85777000000.0,39678000000.0,25352000000.0,21448000000.0,331612000000.0,264904000000.0,66708000000.0,133280000000.0,131624000000.0,206177000000.0,125435000000.0,25565000000.0
2024-03-31,Apple Inc.,Technology,AAPL,90753000000.0,42271000000.0,27900000000.0,23636000000.0,337411000000.0,263217000000.0,74194000000.0,139395000000.0,123822000000.0,208995000000.0,128416000000.0,32695000000.0
2023-12-31,Apple Inc.,Technology,AAPL,119575000000.0,54855000000.0,40373000000.0,33916000000.0,353514000000.0,279414000000.0,74100000000.0,145441000000.0,133973000000.0,209822000000.0,143692000000.0,40760000000.0
2023-09-30,Apple Inc.,Technology,AAPL,89498000000.0,40427000000.0,26969000000.0,22956000000.0,352583000000.0,290437000000.0,62146000000.0,145129000000.0,145308000000.0,209017000000.0,143566000000.0,29965000000.0
2024-09-30,Microsoft Corporation,Technology,MSFT,65585000000.0,45486000000.0,30552000000.0,24667000000.0,523013000000.0,235290000000.0,287723000000.0,120090000000.0,115200000000.0,373087000000.0,149926000000.0,20840000000.0
2024-06-30,Microsoft Corporation,Technology,MSFT,64727000000.0,45043000000.0,27925000000.0,22036000000.0,512163000000.0,243686000000.0,268477000000.0,118400000000.0,125286000000.0,352429000000.0,159734000000.0,18315000000.0
2024-03-31,Microsoft Corporation,Technology,MSFT,61858000000.0,43353000000.0,27581000000.0,21939000000.0,484275000000.0,231123000000.0,253152000000.0,112598000000.0,118525000000.0,337095000000.0,147180000000.0,19634000000.0
2023-12-31,Microsoft Corporation,Technology,MSFT,62020000000.0,42397000000.0,27032000000.0,21870000000.0,470558000000.0,232290000000.0,238268000000.0,111274000000.0,121016000000.0,323165000000.0,147393000000.0,17305000000.0
2023-09-30,Microsoft Corporation,Technology,MSFT,56517000000.0,40215000000.0,26895000000.0,22291000000.0,445785000000.0,225071000000.0,220714000000.0,100279000000.0,124792000000.0,238199000000.0,207586000000.0,80452000000.0
2024-09-30,Alphabet Inc.,Technology,GOOGL,88268000000.0,51794000000.0,28521000000.0,26301000000.0,430266000000.0,116147000000.0,314119000000.0,35344000000.0,80803000000.0,272725000000.0,157541000000.0,19959000000.0
2024-06-30,Alphabet Inc.,Technology,GOOGL,84742000000.0,49235000000.0,27425000000.0,23619000000.0,414770000000.0,114017000000.0,300753000000.0,36104000000.0,77913000000.0,252775000000.0,161995000000.0,27225000000.0
2024-03-31,Alphabet Inc.,Technology,GOOGL,80539000000.0,46827000000.0,25472000000.0,23662000000.0,407350000000.0,114506000000.0,292844000000.0,37509000000.0,76997000000.0,241879000000.0,165471000000.0,24493000000.0
2023-12-31,Alphabet Inc.,Technology,GOOGL,86310000000.0,48735000000.0,23697000000.0,20687000000.0,402392000000.0,119013000000.0,283379000000.0,37199000000.0,81814000000.0,230862000000.0,171530000000.0,24048000000.0
2023-09-30,Alphabet Inc.,Technology,GOOGL,76693000000.0,43464000000.0,21343000000.0,19689000000.0,396711000000.0,123509000000.0,273202000000.0,37214000000.0,86295000000.0,220401000000.0,176310000000.0,30702000000.0
2024-07-31,NVIDIA Corporation,Technology,NVDA,30040000000.0,22574000000.0,18642000000.0,16599000000.0,85227000000.0,27070000000.0,58157000000.0,13101000000.0,13969000000.0,25594000000.0,59633000000.0,8563000000.0
2024-04-30,NVIDIA Corporation,Technology,NVDA,26044000000.0,20406000000.0,16909000000.0,14881000000.0,77072000000.0,27930000000.0,49142000000.0,12707000000.0,15223000000.0,23343000000.0,53729000000.0,7587000000.0
2024-01-31,NVIDIA Corporation,Technology,NVDA,22103000000.0,16791000000.0,13614000000.0,12285000000.0,65728000000.0,22750000000.0,42978000000.0,12119000000.0,10631000000.0,21383000000.0,44345000000.0,7280000000.0
2023-10-31,NVIDIA Corporation,Technology,NVDA,18120000000.0,13400000000.0,10417000000.0,9243000000.0,54148000000.0,20883000000.0,33265000000.0,11782000000.0,9101000000.0,21490000000.0,32658000000.0,5519000000.0
2023-07-31,NVIDIA Corporation,Technology,NVDA,13507000000.0,9462000000.0,6800000000.0,6188000000.0,49555000000.0,22054000000.0,27501000000.0,11720000000.0,10334000000.0,20758000000.0,28797000000.0,5783000000.0
2024-09-30,"Meta Platforms, Inc.",Technology,META,40589000000.0,33214000000.0,17350000000.0,15688000000.0,256408000000.0,91879000000.0,164529000000.0,58549000000.0,33330000000.0,165341000000.0,91067000000.0,43852000000.0
2024-06-30,"Meta Platforms, Inc.",Technology,META,39071000000.0,31763000000.0,14847000000.0,13465000000.0,230238000000.0,73475000000.0,156763000000.0,46471000000.0,27004000000.0,153807000000.0,76431000000.0,32045000000.0
2024-03-31,"Meta Platforms, Inc.",Technology,META,36455000000.0,29815000000.0,13818000000.0,12369000000.0,222844000000.0,73315000000.0,149529000000.0,45214000000.0,28101000000.0,147514000000.0,75330000000.0,32307000000.0
2023-12-31,"Meta Platforms, Inc.",Technology,META,40111000000.0,32416000000.0,16384000000.0,14017000000.0,229623000000.0,76455000000.0,153168000000.0,44495000000.0,31960000000.0,144258000000.0,85365000000.0,41862000000.0
2023-09-30,"Meta Platforms, Inc.",Technology,META,34146000000.0,27936000000.0,13748000000.0,11583000000.0,216274000000.0,73401000000.0,142873000000.0,42870000000.0,30531000000.0,137896000000.0,78378000000.0,36890000000.0
2024-09-30,Johnson & Johnson,Healthcare,JNJ,22471000000.0,15508000000.0,5278000000.0,2694000000.0,178287000000.0,108129000000.0,70158000000.0,56370000000.0,51759000000.0,125038000000.0,53249000000.0,19980000000.0
2024-06-30,Johnson & Johnson,Healthcare,JNJ,22447000000.0,15578000000.0,6657000000.0,4686000000.0,181088000000.0,109550000000.0,71538000000.0,55617000000.0,53933000000.0,123271000000.0,57817000000.0,24878000000.0
2024-03-31,Johnson & Johnson,Healthcare,JNJ,21383000000.0,14872000000.0,6273000000.0,3255000000.0,171966000000.0,101946000000.0,70020000000.0,53221000000.0,48725000000.0,114964000000.0,57002000000.0,25473000000.0
2023-12-31,Johnson & Johnson,Healthcare,JNJ,21395000000.0,14597000000.0,4607000000.0,4049000000.0,167558000000.0,98784000000.0,68774000000.0,52502000000.0,46282000000.0,114063000000.0,53495000000.0,21859000000.0
2023-09-30,Johnson & Johnson,Healthcare,JNJ,21351000000.0,14745000000.0,6198000000.0,26028000000.0,166061000000.0,94833000000.0,71228000000.0,50463000000.0,44370000000.0,112358000000.0,53703000000.0,19728000000.0
2024-09-30,Pfizer Inc.,Healthcare,PFE,17701000000.0,12438000000.0,5284000000.0,4465000000.0,219476000000.0,126918000000.0,92286000000.0,83707000000.0,43211000000.0,176254000000.0,43223000000.0,1092000000.0
2024-06-30,Pfizer Inc.,Healthcare,PFE,13283000000.0,9983000000.0,2263000000.0,41000000.0,216193000000.0,128218000000.0,87700000000.0,84399000000.0,43819000000.0,178367000000.0,37825000000.0,1052000000.0
2024-03-31,Pfizer Inc.,Healthcare,PFE,14878000000.0,11499000000.0,4203000000.0,3115000000.0,221095000000.0,128537000000.0,92282000000.0,88040000000.0,40497000000.0,178680000000.0,42415000000.0,719000000.0
2023-12-31,Pfizer Inc.,Healthcare,PFE,14249000000.0,6686000000.0,-1971000000.0,-3369000000.0,226501000000.0,137213000000.0,89014000000.0,89419000000.0,47794000000.0,183168000000.0,43333000000.0,2853000000.0
